Source,recipe_name,Target,ingredient_en,Type,book,chapter,section,ingredient_type
B01C016S01,laseratum,acetum,vinegar,Undirected,1,16,1,Additive
B01C016S01,laseratum,mel,honey,Undirected,1,16,1,Additive
B01C016S01,laseratum,menta,mint,Undirected,1,16,1,Herbs
B01C016S02,laseratum_aliter_1,piper,pepper,Undirected,1,16,2,Spices
B01C016S02,laseratum_aliter_1,anethum,dill,Undirected,1,16,2,Herbs
B01C016S02,laseratum_aliter_1,menta,mint,Undirected,1,16,2,Herbs
B01C016S02,laseratum_aliter_1,silphium,silphium,Undirected,1,16,2,Spices
B01C016S02,laseratum_aliter_1,carum,caraway,Undirected,1,16,2,Spices
B01C016S02,laseratum_aliter_1,costum,costmary,Undirected,1,16,2,Plants
B01C016S02,laseratum_aliter_1,malabathrum,malabathrum,Undirected,1,16,2,Spices
B01C016S02,laseratum_aliter_1,folium,aromatic leaf,Undirected,1,16,2,Spices
B01C016S02,laseratum_aliter_1,petroselinum,parsley,Undirected,1,16,2,Herbs
B01C016S02,laseratum_aliter_1,liquamen,liquamen,Undirected,1,16,2,Additive
B01C016S02,laseratum_aliter_1,acetum,vinegar,Undirected,1,16,2,Additive
B01C016S02,laseratum_aliter_1,mel,honey,Undirected,1,16,2,Additive
B01C016S02,laseratum_aliter_1,spica_nardi,indian spikenard,Undirected,1,16,2,Spices
B01C017S01,oenogarum_in_tubera,piper,pepper,Undirected,1,17,1,Spices
B01C017S01,oenogarum_in_tubera,coriandrum,coriander,Undirected,1,17,1,Herbs
B01C017S01,oenogarum_in_tubera,ruta,rue,Undirected,1,17,1,Herbs
B01C017S01,oenogarum_in_tubera,liquamen,liquamen,Undirected,1,17,1,Additive
B01C017S01,oenogarum_in_tubera,oenogarum,oenogarum,Undirected,1,17,1,Additive
B01C017S01,oenogarum_in_tubera,mel,honey,Undirected,1,17,1,Additive
B01C017S01,oenogarum_in_tubera,oleum,oil,Undirected,1,17,1,Plants
B01C017S01,oenogarum_in_tubera,tubera,truffles,Undirected,1,17,1,Fungi
B01C017S01,oenogarum_in_tubera,ligusticum,lovage,Undirected,1,17,1,Herbs
B01C017S02,oenogarum_in_tubera_aliter_1,piper,pepper,Undirected,1,17,2,Spices
B01C017S02,oenogarum_in_tubera_aliter_1,thymum,thyme,Undirected,1,17,2,Herbs
B01C017S02,oenogarum_in_tubera_aliter_1,satureia,savory,Undirected,1,17,2,Herbs
B01C017S02,oenogarum_in_tubera_aliter_1,liquamen,liquamen,Undirected,1,17,2,Additive
B01C017S02,oenogarum_in_tubera_aliter_1,mel,honey,Undirected,1,17,2,Additive
B01C017S02,oenogarum_in_tubera_aliter_1,oleum,oil,Undirected,1,17,2,Plants
B01C017S02,oenogarum_in_tubera_aliter_1,ligusticum,lovage,Undirected,1,17,2,Herbs
B01C018S01,oxyporum,piper,pepper,Undirected,1,18,1,Spices
B01C018S01,oxyporum,cuminum,cumin,Undirected,1,18,1,Spices
B01C018S01,oxyporum,zingiber,ginger,Undirected,1,18,1,Spices
B01C018S01,oxyporum,nitrum,soda,Undirected,1,18,1,Additive
